"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key AI/ML Methods and Approaches","Data Modalities and Sources","Challenges and Limitations"
"Classification models for likelihood prediction of diabetes at early stage using feature selection","https://scispace.com/paper/classification-models-for-likelihood-prediction-of-diabetes-vp55r17jfy","2021","Journal Article","Applied Computing and Informatics","Oladosu Oyebisi Oladimeji
Abimbola Oladimeji
Olayanju Oladimeji","10.1108/ACI-01-2021-0022","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Presents a single predictive model using feature selection on a diabetes dataset; lacks review scope, multimodal data, wearables, CGM, imaging, fusion methods, generalization, bias analysis, deployment discussion, or benchmark taxonomy.","","","",""
"Predictive Diabets Diagnosis using Machine Learning","https://scispace.com/paper/predictive-diabets-diagnosis-using-machine-learning-2xk7fpgy","2022","Journal Article","Emperor Journal Applied Scientific Research","Kadireddy Sivaprasad Reddy
Dr. J. Sreenivasan","10.35338/ejasr.2022.4404","https://scispace.com/pdf/predictive-diabets-diagnosis-using-machine-learning-2xk7fpgy.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper presents a single predictive method for diabetes using machine learning; lacks review scope, multimodal coverage, and discussion of challenges, datasets, or deployment.","There are a few AI procedures that are utilized to perform prescient investigation over enormous information in different fields. Prescient examination in medical services is a difficult errand at the end of the day can assist specialists with arriving at huge information informed convenient conclusions about understanding's wellbeing and therapy. This paper examines the prescient examination in medical services, six different AI calculations are utilized in this exploration work. For try reason, a dataset of patient's clinical record is gotten and six different AI calculations are applied on the dataset. Execution and exactness of the applied calculations is examined and thought about. Examination of the different AI strategies utilized in this study uncovers which calculation is the most ideal for forecast of diabetes. This paper expects to help specialists and professionals in early forecast of diabetes utilizing AI procedures.","","",""
"Machine Learning Models for Inpatient Glucose Prediction","https://scispace.com/paper/machine-learning-models-for-inpatient-glucose-prediction-1lby4r4c","2022","Journal Article","Current Diabetes Reports","Andrew Zale
Nestoras Mathioudakis","10.1007/s11892-022-01477-w","https://scispace.com/pdf/machine-learning-models-for-inpatient-glucose-prediction-1lby4r4c.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on inpatient glucose prediction using EHR data; lacks multimodal coverage, wearables, CGM, imaging, fusion methods, fairness, deployment, or open datasets.","Glucose management in the hospital is difficult due to non-static factors such as antihyperglycemic and steroid doses, renal function, infection, surgical status, and diet. Given these complex and dynamic factors, machine learning approaches can be leveraged for prediction of glucose trends in the hospital to mitigate and prevent suboptimal hypoglycemic and hyperglycemic outcomes. Our aim was to review the clinical evidence for the role of machine learning–based models in predicting hospitalized patients’ glucose trajectory. The published literature on machine learning algorithms has varied in terms of population studied, outcomes of interest, and validation methods. There have been tools developed that utilize data from both continuous glucose monitors and large electronic health records (EHRs). With increasing sample sizes, inclusion of a greater number of predictor variables, and use of more advanced machine learning algorithms, there has been a trend in recent years towards increasing predictive accuracy for glycemic outcomes in the hospital setting. While current models predicting glucose trajectory offer promising results, they have not been tested prospectively in the clinical setting. Accurate machine learning algorithms have been developed and validated for prediction of hypoglycemia and hyperglycemia in the hospital. Further work is needed in implementation/integration of machine learning models into EHR systems, with prospective studies to evaluate effectiveness and safety of such clinical decision support on glycemic and other clinical outcomes. ","","",""
"Current and Future Applications of Artificial Intelligence in Coronary Artery Disease","https://scispace.com/paper/current-and-future-applications-of-artificial-intelligence-d6yy8906","2022","Journal Article","Healthcare","Nitesh Gautam
Prachi Saluja
Abdallah I. Husein Malkawi
Mark G. Rabbat
Mouaz H. Al-Mallah
Gianluca Pontone
Yiye Zhang
Benjamin C. Lee
Subhi J. Al'Aref","10.3390/healthcare10020232","https://scispace.com/pdf/current-and-future-applications-of-artificial-intelligence-d6yy8906.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on AI applications in coronary artery disease, not diabetes; lacks wearable, CGM, retinal imaging, multimodal fusion, or diabetes‑specific deployment discussions.","","","",""
"Process Knowledge-Infused AI: Towards User-level Explainability, Interpretability, and Safety","https://scispace.com/paper/http://arxiv.org/abs/2206.13349v1","2022","Preprint","","Amit Sheth
Manas Gaur
Kaushik Roy
Revathy Venkataraman
Vedant Khandelwal","","https://arxiv.org/pdf/2206.13349v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on process‑knowledge‑infused AI for explainability and safety, without addressing diabetes, multimodal data, or related clinical applications.","AI systems have been widely adopted across various domains in the real world. However, in high-value, sensitive, or safety-critical applications such as self-management for personalized health or food recommendation with a specific purpose (e.g., allergy-aware recipe recommendations), their adoption is unlikely. Firstly, the AI system needs to follow guidelines or well-defined processes set by experts; the data alone will not be adequate. For example, to diagnose the severity of depression, mental healthcare providers use Patient Health Questionnaire (PHQ-9). So if an AI system were to be used for diagnosis, the medical guideline implied by the PHQ-9 needs to be used. Likewise, a nutritionist's knowledge and steps would need to be used for an AI system that guides a diabetic patient in developing a food plan. Second, the BlackBox nature typical of many current AI systems will not work; the user of an AI system will need to be able to give user-understandable explanations, explanations constructed using concepts that humans can understand and are familiar with. This is the key to eliciting confidence and trust in the AI system. For such applications, in addition to data and domain knowledge, the AI systems need to have access to and use the Process Knowledge, an ordered set of steps that the AI system needs to use or adhere to.","","",""
"The Lancet Global Health Commission on Global Eye Health: vision beyond 2020.","https://scispace.com/paper/the-lancet-global-health-commission-on-global-eye-health-32lfxzytln","2021","Journal Article","The Lancet Global Health","Matthew J. Burton
Matthew J. Burton
Jacqueline Ramke
Jacqueline Ramke
Ana Patrícia Marques
Rupert R A Bourne
Rupert R A Bourne
Nathan Congdon
Nathan Congdon
Iain Jones
Brandon A M Ah Tong
Simon Arunga
Simon Arunga
Damodar Bachani
Covadonga Bascaran
Andrew Bastawrous
Karl Blanchet
Tasanee Braithwaite
Tasanee Braithwaite
John Buchan
John Buchan
John Cairns
Anasaini Cama
Margarida Chagunda
Chimgee Chuluunkhuu
Andrew Cooper
Jessica Crofts-Lawrence
William H. Dean
William H. Dean
Alastair K Denniston
Alastair K Denniston
Joshua R. Ehrlich
Paul M. Emerson
Jennifer R Evans
Kevin D. Frick
David S. Friedman
João M. Furtado
Gichangi M
Stephen Gichuhi
Suzanne Gilbert
Reeta Gurung
Esmael Habtamu
Peter Holland
Jost B. Jonas
Pearse A. Keane
Lisa Keay
Lisa Keay
Rohit C Khanna
Rohit C Khanna
Peng T. Khaw
Hannah Kuper
Fatima Kyari
Fatima Kyari
Van C. Lansingh
Islay Mactaggart
Milka Madaha Mafwiri
Wanjiku Mathenge
Ian McCormick
Priya Morjaria
L Mowatt
Debbie Muirhead
Debbie Muirhead
Gudlavalleti V S Murthy
Nyawira Mwangi
Nyawira Mwangi
Daksha B Patel
Tunde Peto
Babar Qureshi
Solange Rios Salomão
Virginia Sarah
Bernadetha R Shilio
Anthony W. Solomon
Bonnielin K. Swenor
Hugh R. Taylor
Ningli Wang
Aubrey Webson
Sheila K. West
Tien Yin Wong
Tien Yin Wong
Richard Wormald
Richard Wormald
Sumrana Yasmin
Mayinuer Yusufu
Juan Carlos Silva
Serge Resnikoff
Serge Resnikoff
Thulasiraj Ravilla
Clare Gilbert
Allen Foster
Hannah Faal","10.1016/S2214-109X(20)30488-5","https://minerva-access.unimelb.edu.au/bitstream/handle/11343/280247/PIIS2214109X20304885.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on global eye health AI applications, not diabetes; lacks wearable, CGM, retinal imaging, multimodal fusion, or deployment discussions relevant to diabetes criteria.","","","",""
"AI in the Shadows: Unveiling the Strengths and Blind Spots of Medios AI Retinal Screening in Cancer Care.","https://scispace.com/paper/41531643","2025","Journal Article","Cureus","Das
Chawla
Lomi
Grover
Narayan","10.7759/cureus.99002","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12791174/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Medios AI retinal screening in oncology patients; does not address diabetes, wearables, CGM, multimodal fusion, or related AI/ML challenges.","Introduction Artificial intelligence (AI) is increasingly being integrated into ophthalmic diagnostics, offering potential for efficient screening of common retinal diseases. The Medios AI system by Remidio (Singapore, Singapore), designed for use with a smartphone-based fundus camera, claims to detect diabetic retinopathy (DR), age-related macular degeneration (ARMD), and glaucoma. However, its performance in complex clinical settings such as ocular oncology remains underexplored. This study aims to evaluate both the diagnostic capabilities and limitations of the Medios AI system when applied to a diverse cohort of oncology patients. Materials and methods An observational study was conducted over three months in an ocular oncology clinic. Ninety-eight cancer patients (196 eyes) underwent fundus photography using the Remidio smartphone-based fundus imaging system. The images were analyzed using the Medios AI algorithm. AI-generated findings were compared with clinical evaluations by an experienced ophthalmologist to identify diagnostic concordance and discrepancies. Additional attention was paid to the system's imaging capabilities, including its ability to capture wide-field or montage images. Result The AI system accurately identified glaucomatous cupping in three patients, flagged two cases of DR, and detected signs of ARMD in two patients-all consistent with clinical examination. However, eight patients with leukemic retinopathy were incorrectly flagged as having DR, revealing a lack of specificity in distinguishing vascular retinal pathologies. The system also failed to detect optic atrophy, a critical neuro-ophthalmic finding in oncology patients. A technical limitation was also noted: the inability of the Remidio system to generate montage or wide-field images, restricting visualization of the peripheral retina. Conclusion While the Medios AI system demonstrates promise in identifying common retinal pathologies such as DR, ARMD, and glaucoma, its limitations are significant in the oncology context. The inability to distinguish similar hemorrhagic retinopathies, failure to detect optic nerve atrophy, and lack of wide-field imaging capabilities underscore the need for cautious implementation. Integration of AI tools must be accompanied by expert clinical oversight, especially in specialized settings where retinal presentations are complex and atypical.","","",""
"Using Machine Learning Techniques to Identify Key Risk Factors for Diabetes and Undiagnosed Diabetes","https://scispace.com/paper/http://arxiv.org/abs/2105.09379v1","2021","Preprint","","Avraham Adler","","https://arxiv.org/pdf/2105.09379v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on predictive models using NHANES survey data; does not review multimodal sources, wearables, CGM, imaging, or broader AI/ML challenges and deployment considerations.","This paper reviews a wide selection of machine learning models built to predict both the presence of diabetes and the presence of undiagnosed diabetes using eight years of National Health and Nutrition Examination Survey (NHANES) data. Models are tuned and compared via their Brier Scores. The most relevant variables of the best performing models are then compared. A Support Vector Machine with a linear kernel performed best for predicting diabetes, returning a Brier score of 0.0654 and an AUROC of 0.9235 on the test set. An elastic net regression performed best for predicting undiagnosed diabetes with a Brier score of 0.0294 and an AUROC of 0.9439 on the test set. Similar features appear prominently in the models for both sets of models. Blood osmolality, family history, the prevalance of various compounds, and hypertension are key indicators for all diabetes risk. For undiagnosed diabetes in particular, there are ethnicity or genetic components which arise as strong correlates as well.","","",""
"Diabetes Prediction and Management Using Machine Learning Approaches","https://scispace.com/paper/http://arxiv.org/abs/2506.11501v1","2025","Preprint","","Mowafaq Salem Alzboon
Muhyeeddin Alqaraleh
Mohammad Subhi Al-Batah","10.56294/dm2025545","https://arxiv.org/pdf/2506.11501v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on single‑modal Pima dataset classification using various ML models; lacks review, multimodal data, wearables, CGM, imaging, fusion, generalization, bias, deployment, or democratization discussions.","Diabetes has emerged as a significant global health issue, especially with the increasing number of cases in many countries. This trend Underlines the need for a greater emphasis on early detection and proactive management to avert or mitigate the severe health complications of this disease. Over recent years, machine learning algorithms have shown promising potential in predicting diabetes risk and are beneficial for practitioners. Objective: This study highlights the prediction capabilities of statistical and non-statistical machine learning methods over Diabetes risk classification in 768 samples from the Pima Indians Diabetes Database. It consists of the significant demographic and clinical features of age, body mass index (BMI) and blood glucose levels that greatly depend on the vulnerability against Diabetes. The experimentation assesses the various types of machine learning algorithms in terms of accuracy and effectiveness regarding diabetes prediction. These algorithms include Logistic Regression, Decision Tree, Random Forest, K-Nearest Neighbors, Naive Bayes, Support Vector Machine, Gradient Boosting and Neural Network Models. The results show that the Neural Network algorithm gained the highest predictive accuracy with 78,57 %, and then the Random Forest algorithm had the second position with 76,30 % accuracy. These findings show that machine learning techniques are not just highly effective. Still, they also can potentially act as early screening tools in predicting Diabetes within a data-driven fashion with valuable information on who is more likely to get affected. In addition, this study can help to realize the potential of machine learning for timely intervention over the longer term, which is a step towards reducing health outcomes and disease burden attributable to Diabetes on healthcare systems","","",""
"Automated method for quantitative analysis of iris fluorescein angiography based on machine learning.","https://scispace.com/paper/41522026","2026","Journal Article","Quantitative imaging in medicine and surgery","Zhu
Sun
Han
Chen
Western
Zhang","10.21037/qims-2025-480","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12780619/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a single deep‑learning method for iris angiography in neovascular glaucoma, unrelated to diabetes multimodal data, wearables, CGM, retinal DR imaging, or broader AI/ML review topics.","Diabetic retinopathy is a leading cause of vision impairment, often progressing to neovascular glaucoma. Early detection of neovascularisation of the iris (NVI) is crucial for timely intervention. Traditional diagnostic methods, such as slit-lamp examination, have limitations in identifying early-stage NVI. This study presents a deep learning-based automated approach for analysing iris fluorescein angiography (IFA) images to detect and quantify peripupillary leakage, a key indicator of NVI.","","",""
"The role of machine learning in advancing diabetic foot: a review","https://scispace.com/paper/the-role-of-machine-learning-in-advancing-diabetic-foot-a-11talic4r5","2024","","Frontiers in Endocrinology","Huifang Guan
Ying Wang
Ping Niu
Yuxin Zhang
Yanjiao Zhang
Runyu Miao
Xin-Yi Fang
Ruiyang Yin
Shuang Zhao
Jun Liu
Jiaxing Tian","10.3389/fendo.2024.1325434","https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1325434/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on diabetic foot ML applications; does not address multimodal diabetes data, wearables, CGM, retinal imaging, or broader AI/ML challenges outlined.","Background Diabetic foot complications impose a significant strain on healthcare systems worldwide, acting as a principal cause of morbidity and mortality in individuals with diabetes mellitus. While traditional methods in diagnosing and treating these conditions have faced limitations, the emergence of Machine Learning (ML) technologies heralds a new era, offering the promise of revolutionizing diabetic foot care through enhanced precision and tailored treatment strategies. Objective This review aims to explore the transformative impact of ML on managing diabetic foot complications, highlighting its potential to advance diagnostic accuracy and therapeutic approaches by leveraging developments in medical imaging, biomarker detection, and clinical biomechanics. Methods A meticulous literature search was executed across PubMed, Scopus, and Google Scholar databases to identify pertinent articles published up to March 2024. The search strategy was carefully crafted, employing a combination of keywords such as “Machine Learning,” “Diabetic Foot,” “Diabetic Foot Ulcers,” “Diabetic Foot Care,” “Artificial Intelligence,” and “Predictive Modeling.” This review offers an in-depth analysis of the foundational principles and algorithms that constitute ML, placing a special emphasis on their relevance to the medical sciences, particularly within the specialized domain of diabetic foot pathology. Through the incorporation of illustrative case studies and schematic diagrams, the review endeavors to elucidate the intricate computational methodologies involved. Results ML has proven to be invaluable in deriving critical insights from complex datasets, enhancing both the diagnostic precision and therapeutic planning for diabetic foot management. This review highlights the efficacy of ML in clinical decision-making, underscored by comparative analyses of ML algorithms in prognostic assessments and diagnostic applications within diabetic foot care. Conclusion The review culminates in a prospective assessment of the trajectory of ML applications in the realm of diabetic foot care. We believe that despite challenges such as computational limitations and ethical considerations, ML remains at the forefront of revolutionizing treatment paradigms for the management of diabetic foot complications that are globally applicable and precision-oriented. This technological evolution heralds unprecedented possibilities for treatment and opportunities for enhancing patient care.","","",""
"Performance Analysis of Machine Learning Techniques to Predict Diabetes Mellitus","https://scispace.com/paper/http://arxiv.org/abs/1902.10028v1","2019","Preprint","","Md. Faisal Faruque
Asaduzzaman
Iqbal H. Sarker","","https://arxiv.org/pdf/1902.10028v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Presents a single-method experimental study on classic ML classifiers for diabetes prediction; lacks review scope, multimodal data, and all specified thematic coverage.","Diabetes mellitus is a common disease of human body caused by a group of metabolic disorders where the sugar levels over a prolonged period is very high. It affects different organs of the human body which thus harm a large number of the body's system, in particular the blood veins and nerves. Early prediction in such disease can be controlled and save human life. To achieve the goal, this research work mainly explores various risk factors related to this disease using machine learning techniques. Machine learning techniques provide efficient result to extract knowledge by constructing predicting models from diagnostic medical datasets collected from the diabetic patients. Extracting knowledge from such data can be useful to predict diabetic patients. In this work, we employ four popular machine learning algorithms, namely Support Vector Machine (SVM), Naive Bayes (NB), K-Nearest Neighbor (KNN) and C4.5 Decision Tree, on adult population data to predict diabetic mellitus. Our experimental results show that C4.5 decision tree achieved higher accuracy compared to other machine learning techniques.","","",""
"Early Stage Diabetes Prediction via Extreme Learning Machine","https://scispace.com/paper/http://arxiv.org/abs/2202.11216v1","2022","Preprint","","Nelly Elsayed
Zag ElSayed
Murat Ozer","","https://arxiv.org/pdf/2202.11216v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Presents a single extreme learning machine model using questionnaire data; lacks review, multimodal coverage, wearable/CGM/ imaging discussion, fusion methods, generalization, bias, deployment, democratization, taxonomy, or benchmark references.","Diabetes is one of the chronic diseases that has been discovered for decades. However, several cases are diagnosed in their late stages. Every one in eleven of the world's adult population has diabetes. Forty-six percent of people with diabetes have not been diagnosed. Diabetes can develop several other severe diseases that can lead to patient death. Developing and rural areas suffer the most due to the limited medical providers and financial situations. This paper proposed a novel approach based on an extreme learning machine for diabetes prediction based on a data questionnaire that can early alert the users to seek medical assistance and prevent late diagnoses and severe illness development.","","",""
"Machine learning-based online prediction of nocturnal hypoglycemia in elderly patients with type 2 diabetes.","https://scispace.com/paper/41573194","2025","Journal Article","Frontiers in endocrinology","Liu
Guo
Li
Li
Huang
Zhao
Zhu
Liu
Wang
Lin
Wang
Gao
Gao
Liu","10.3389/fendo.2025.1685969","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819298/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Presents a single predictive model for nocturnal hypoglycemia in elderly T2D patients; does not review multimodal data, wearable/CGM/retinal imaging, fusion methods, generalization, bias, deployment, AI democratization, taxonomy, or benchmarks.","Nocturnal hypoglycemia (NH) is a common adverse event in elderly patients with type 2 diabetes (T2D). This study aims to develop a clinically applicable model for predicting the risk of NH in elderly patients with T2D.","","",""
"Selecting measures of visual function to classify diabetic retinopathy status: a cross-sectional study.","https://scispace.com/paper/41558771","2026","Journal Article","BMJ open ophthalmology","Wright
Chakravarthy
Das
Graham
Naskas
Peto
Hogg","10.1136/bmjophth-2025-002536","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12820872/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on visual function tests for diabetic retinopathy classification; no AI/ML review, wearable, CGM, imaging, or multimodal fusion discussion.","To identify combinations of up to three visual function tests with the best performance for classifying diabetic retinopathy (DR) severity stage. To describe in detail the measurements from a comprehensive set of visual function tests.","","",""
"Emerging Oculomic Signatures: Linking Thickness of Entire Retinal Layers with Plasma Biomarkers in Preclinical Alzheimer's Disease.","https://scispace.com/paper/41517524","2025","Journal Article","Journal of clinical medicine","Abboud
Xu
Xu
Alhasany
Wang
Wu
Astraea
Jiang
Hu
Chan","10.3390/jcm15010275","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12786561/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on retinal layer thickness and plasma biomarkers for preclinical Alzheimer's, unrelated to diabetes, AI/ML reviews, or multimodal sensor data.","","","",""
"Gut microbiome profiles and associated functional pathways are linked to Mediterranean diet adherence and blood glucose control in adults with type 1 diabetes mellitus.","https://scispace.com/paper/41484024","2025","Journal Article","Nutrition, metabolism, and cardiovascular diseases : NMCD","Abuqwider
Pasolli
Scidà
Corrado
Vitale
De Filippis
Ercolini
Annuzzi
Rivellese
Bozzetto","10.1016/j.numecd.2025.104487","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on diet‑microbiome links and glucose control in T1DM; contains no AI/ML review, wearable, CGM, imaging, or multimodal data discussions.","The Mediterranean diet (MD) has been associated with better glycaemic control in children with type 1 diabetes mellitus (T1DM) and favourable microbiome profiles in healthy individuals. However, it remains unclear whether MD adherence is associated with glycaemic control via microbiome. This study examined the relationships among MD adherence, gut microbiome, and glycaemic control in adults with T1DM and assessed the microbiome's ability to predict clinical and dietary outcomes.","","",""
"Explainable machine-learning-based cardiovascular disease prediction in patients with hypertension: Algorithm comparison and SHapley Additive exPlanations (SHAP) analysis.","https://scispace.com/paper/41535161","2025","Journal Article","Archives of cardiovascular diseases","Wang","10.1016/j.acvd.2025.09.005","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on hypertension‑related cardiovascular risk prediction using SHAP; does not address diabetes, multimodal data, wearables, CGM, imaging, or broader AI/ML review criteria.","Cardiovascular disease is a leading cause of morbidity in patients with hypertension. Developing a highly accurate and interpretable prediction model is crucial for facilitating early intervention.","","",""
"Endocrine and metabolic determinants of cardiometabolic risk in mild autonomous cortisol secretion.","https://scispace.com/paper/41576621","2026","Journal Article","EBioMedicine","Prete
Abdi
Canducci
van den Brandhof
Albors-Zumel
Jenkinson
Gilligan
Zhang
Visser
Chortis
Najdekr
Jankevics
Lloyd
Winder
Tsagarakis
Lang
Macech
Fell
Vodanovic
Reimondo
Marina
Deutschbein
Balomenaki
O'Reilly
Bednarczuk
Dusek
Diamantopoulos
Asia
Kondracka
Yu
Masjkur
Quinkler
Ueland
Dennedy
Beuschlein
Tabarin
Fassnacht
Ivovic
Terzolo
Kastelan
Young
Manolopoulos
Ambroziak
Vassiliadi
Bancos
Sitch
Taylor
Tino
Biehl
Dunn
Arlt","10.1016/j.ebiom.2026.106126","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on endocrine/metabolic factors in mild cortisol excess, unrelated to AI/ML, diabetes data, or multimodal sensor technologies.","Benign adrenal tumours, found in 1-7% of adults, can be non-functioning (NFAT) or show mild autonomous cortisol secretion (MACS), i.e., biochemical cortisol excess without manifestations of Cushing's syndrome (CS). MACS occurs in 20-50% of cases and is linked to increased cardiometabolic burden.","","",""
"Sleep deprivation and epiretinal membrane risk: Machine learning findings from a nation-wide survey.","https://scispace.com/paper/41570315","2026","Journal Article","Retina (Philadelphia, Pa.)","Kim
Kim
Lee
Yeo
Choi","10.1097/IAE.0000000000004776","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper studies sleep deprivation and epiretinal membrane risk using machine learning on a Korean health survey; it does not address diabetes, multimodal data, wearables, CGM, retinal imaging for diabetic retinopathy, or related AI/ML challenges.","This cross-sectional study explored the association between sleep deprivation and epiretinal membrane (ERM) using machine learning applied to data from the Korean National Health and Nutrition Examination Survey 2017-2020.","","",""
"MYO1C is a urinary extracellular vesicle biomarker and mediator of podocyte injury in diabetic nephropathy.","https://scispace.com/paper/41569692","2026","Journal Article","JCI insight","Zhao
Yan
Zhou
Liu
Liu
Ren
Pan
Liu
Liu
Liu
Duan","10.1172/jci.insight.194604","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on MYO1C as a urinary biomarker and mechanistic driver in diabetic nephropathy; presents experimental and ML diagnostic model, but lacks review, multimodal data, or AI/ML methodology discussions.","Type 2 diabetic nephropathy (T2DN) is a major complication of type 2 diabetes and a leading cause of chronic kidney disease. This study aimed to explore MYO1C as both a candidate biomarker and elucidate its role as a mechanistic mediator of podocyte injury in T2DN. Using urinary extracellular vesicle RNA biomarkers identified from a training and validation cohort of 33 type 2 diabetes and 40 T2DN patients, we developed a machine learning diagnostic model for T2DN. The model achieved an AUC of 0.877 in validation and performed well in an independent test cohort with an AUC of 0.824. MYO1C was identified as the most influential feature in the final model. Mechanistic investigations in vitro and in vivo revealed that high glucose and high-fat conditions induced podocyte injury, inflammation, and apoptosis, with increased MYO1C expression. MYO1C knockdown in vitro and in vivo reduced podocyte damage and inflammatory responses. MYO1C overexpression enhanced p38, p-CREB, and TNF-α levels, while p38 inhibition mitigated these effects. These findings support MYO1C not only as a potential urinary biomarker for T2DN but also as a key pathogenic driver that promotes podocyte injury via p38 MAPK signaling, thereby highlighting its therapeutic promise.","","",""
"Lifespan Pancreas Morphology for Control Versus Type 2 Diabetes Using AI on Largescale Clinical Imaging.","https://scispace.com/paper/41556492","2026","Journal Article","Clinical anatomy (New York, N.Y.)","Remedios
Cho
Schwartz
Su
Rudravaram
Gao
Krishnan
Saunders
Kim
Bao
Lasko
Powers
Landman
Virostko","10.1002/ca.70077","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on AI‑based pancreas morphology from CT/MRI, not a review of multimodal diabetes data; lacks wearable, CGM, retinal, fusion, generalization, bias, deployment, or democratization discussions.","Understanding how pancreas size and shape change with normal aging is critical for establishing a baseline to detect deviations in type 2 diabetes and other pancreatic disease. We measure pancreas size and shape using morphological measurements from early development through aging (ages 0-90). Our goals are to (1) identify reliable clinical imaging modalities for artificial intelligence (AI) based pancreas measurement, (2) establish normative morphological aging trends, and (3) detect potential deviations in type 2 diabetes. We analyzed a clinically acquired dataset of 2533 patients imaged with abdominal computed tomography (CT) or magnetic resonance imaging (MRI). The patients did not have cancer, pancreas pathology, sepsis, or trauma. We resampled the scans to 3 mm isotropic resolution, segmented the pancreas using automated methods, and extracted 13 morphological pancreas features across the lifespan. First, we assessed pancreas volume trajectories in 1858 control patients across contrast CT, non-contrast CT, and MRI to determine which modalities provide consistent lifespan trends. Second, we characterized distributions of normative morphological patterns stratified by age group and sex. Third, we used covariate-adjusted generative additive models for location, scale, and shape (GAMLSS) regression to model pancreas morphology trends in 1350 patients matched for age, sex, and type 2 diabetes status to identify any deviations from normative aging associated with type 2 diabetes. We selected CT for the main analyses of this study, since the MRI appeared to yield different pancreas measurements than CT using our AI-based method on this dataset of clinically acquired scans. When adjusting for confounders, the aging trends for 10 of 13 morphological features were significantly different between patients with type 2 diabetes and non-diabetic controls (p < 0.05 after multiple comparisons corrections). Additionally, we characterized normative morphological aging trends of the pancreas across 13 morphological measurements. We provide lifespan trends demonstrating that the size and shape of the pancreas are altered in type 2 diabetes using 675 control patients and 675 diabetes patients. Moreover, our findings reinforce that the pancreas is smaller in type 2 diabetes. Additionally, we contribute a reference of lifespan pancreas morphology from a large cohort of non-diabetic control patients in a clinical setting.","","",""
"Language model-guided anticipation and discovery of mammalian metabolites.","https://scispace.com/paper/41535467","2026","Journal Article","Nature","Qiang
Wang
Lu
Xing
Kim
Mérette
Ayres
Oler
AbuSalim
Roichman
Neinast
Cordova
Lee
Herbst
Gupta
Neff
Hiebert-Giesbrecht
Young
Gautam
Tian
Wang
Röst
Baidwan
Greiner
Chen
Johnston
Foster
Shapiro
Wishart
Rabinowitz
Skinnider","10.1038/s41586-025-09969-x","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on AI‑guided metabolite discovery in mammals, unrelated to diabetes, wearable sensors, CGM, imaging, or AI/ML review criteria.","Despite decades of study, large parts of the mammalian metabolome remain unexplored","","",""
